Source,Deity,Title,Pronoun,Sentence,Word,Let,Description,Areas of Concern,Edicts,Anathema,Divine Attribute,Cleric Spells,Divine Font,Divine Sanctification,Divine Skill,Domains,Favored Weapon,0,
Remaster Pantheon,Cayden Cailean,The Accidental God,He/Him,3,38,182,"The Accidental God ascended from mortal life on a drunken dare. Cayden, the Drunken Hero, promotes freedom and encourages others to find their own path in life. He fights for just causes and delights in the best indulgences.","ale, bravery, freedom, and wine","drink, aid the oppressed, seek glory and adventure","waste alcohol, be mean or standoffish when drunk, oppress the vulnerable",Constitution or Charisma,"1st:fleet step, 2nd:stupefy, 5th:hallucination",heal,can choose holy,Athletics,"cities, freedom, indulgence, might",rapier,0,
Remaster Pantheon,Desna,The Song of Spheres,She/Her,2,39,190,"Desna set her sights on the heavens, placing stars in the sky to guide travelers through the darkness and dreamers through nightmares. The Song of Spheres delights in freedom and mystery, and encourages her followers to do the same.","dreams, luck, stars, and travelers","aid fellow travelers, explore new places, express yourself through art and song, find what life has to offer","cause fear or despair, cast, nightmare, or use similar magic to corrupt dreams, engage in bigoted behavior",Charisma or Dexterity,"1st:sleep, 4th:translocate, 5th:dreaming potential",heal,can choose holy,Acrobatics,"dreams, luck, moon, travel",starknife,0,
Remaster Pantheon,Erastil,Old Deadeye,He/Him,2,41,199,"Long ago, Erastil was a horned god of the hunt, but his worship evolved to focus on rural communities. Old Deadeye desires nothing more than peaceful lives for his followers, calling them to arms only when that pastoral existence is threatened.","family, farming, hunting, and trade","care for your home and family, fulfill your duties, keep the peace, protect the community","abandon your home in its time of need, choose yourself over your community, tarnish your reputation, tell lies",Constitution or Wisdom,"1st:sure strike, 3rd:wall of thorns, 5th:nature’s pathway",heal,can choose holy,Survival,"earth, family, nature, wealth",longbow,0,
Remaster Pantheon,Sarenrae,The Dawnflower,She/Her,2,43,202,"Once a powerful angel and empyreal lord, Sarenrae led the charge to imprison Rovagug. The Dawnflower seeks to redeem evil where possible, burn it away with the fire of the sun when it can’t be redeemed, and restore those harmed by evil’s machinations.","healing, honest redemption, and the sun","destroy the Spawn of Rovagug, protect allies, provide aid to the sick and wounded, seek and allow redemption","create undead, lie, deny a repentant creature an opportunity for redemption, fail to strike down evil",Constitution or Wisdom,"1st:breathe fire, 3rd:fireball, 4th:wall of fire",heal,can choose holy,Medicine,"fire, healing, sun, truth",scimitar,0,
Remaster Pantheon,Shelyn,The Eternal Rose,She/Her,2,30,153,"Shelyn, the Eternal Rose, promotes peace and love, and she encourages her followers to create beauty in a sometimes-dark world. She seeks to one day redeem her corrupted brother, Zon-Kuthon.","art, beauty, love, and music","be peaceful, choose and perfect an art, lead by example, see the beauty in all things","destroy art or allow it to be destroyed, unless saving a life or pursuing greater art; refuse to accept surrender",Wisdom or Charisma,"1st:dizzying colors, 3rd:enthrall, 4th:creation",heal,can choose holy,Crafting or Performance,"creation, family, passion, protection",glaive,0,
Remaster Pantheon,Torag,The Father of Creation,He/Him,1,31,157,"Although revered by many dwarves as the Father of Creation, Torag strives to protect every community where he is worshipped and is also followed by those who treasure crafting and creation.","forge, protection, and strategy","be honorable and forthright, keep your word, respect the forge, serve your people","tell lies or cheat someone, intentionally create inferior works, show continued mercy to the enemies of your people when such enemies prove they are undeserving",Constitution or Wisdom,"1st:mindlink, 3rd:earthbind, 4th:creation",heal,can choose holy,Crafting,"creation, earth, family, protection",warhammer,0,
Remaster Pantheon,Norgorber,"Blackfingers, et al",He/Him,1,28,161,"This shadowy figure is worshipped in four aspects: Blackfingers, ally of alchemists and poisoners; the murderous Father Skinsaw; the thieving Gray Master; and the secretive Reaper of Reputation.","greed, murder, poison, and secrets","keep your true identity secret, sacrifice anyone necessary, take every advantage in a fight, work from the shadows","allow your true identity to be connected to your foul dealings, share a secret freely, show mercy",Dexterity or Intelligence,"1st:illusory disguise, 2nd:invisibility, 4th:vision of death",harm,can choose unholy,Stealth,"death, secrecy, trickery, wealth",shortsword,0,
Remaster Pantheon,Zon-Kuthon,The Midnight Lord,He/Him,2,35,166,"Once a god of art, beauty, and music, like Shelyn, the Midnight Lord returned from a sojourn in the dark spaces between the planes horribly changed. Zon-Kuthon now teaches the pleasures of pain and darkness.","darkness, envy, loss, and pain","bring pain to the world, mutilate your body","create permanent or long-lasting sources of light, provide comfort to those who suffer",Constitution or Wisdom,"1st:phantom pain, 3rd:wall of thorns, 5th:umbral journey",harm,can choose unholy,Intimidation,"ambition, darkness, destruction, pain",spiked chain,0,
Remaster Pantheon,Iomedae,The Inheritor,She/Her,2,37,182,"Prior to her ascension and inheritance of many of the god of humanity’s worshippers, Iomedae was a holy warrior in wars against the undead. The Inheritor upholds the values of virtue, fighting against the wicked and unjust.","honor, justice, rulership, and valor","be temperate, fight for justice and honor, hold valor in your heart","abandon a companion in need, dishonor yourself, refuse a challenge from an equal",Strength or Constitution,"1st:sure strike, 2nd:enlarge, 4th:fire shield",heal,must choose holy,Intimidation,"confidence, might, truth, zeal",longsword,0,
Remaster Pantheon,Asmodeus,Prince of Darkness,He/Him,2,32,167,"Asmodeus, Prince of Darkness, delights in tempting mortals to give in to corruption. He promotes hierarchies where everyone knows their place, and he takes advantage of order for his own selfish benefit.","contracts, oppression, pride, and tyranny","negotiate contracts to your best advantage, rule tyrannically and torture weaker beings, show subservience to your betters","break a contract, share power with the weak, insult Asmodeus by showing mercy to your enemies",any (characters who commit themselves to Asmodeus this way have their souls bound to the Dark Prince for all eternity),"1st:charm, 4th:suggestion, 6th:mislead",harm,must choose unholy,Deception,"confidence, fire, trickery, tyranny",mace,0,
Remaster Pantheon,Rovagug,The Rough Beast,He/Him,2,51,223,"Rovagug, the Rough Beast, was long ago imprisoned within Golarion’s core at the hands of many other deities working in concert, and he seeks to one day break free and wreak havoc upon the world. He is served by his spawn and those who seek the ultimate destruction of all things.","destruction, disaster, and wrath","destroy all things, free Rovagug from his prison","create something new, let material ties restrain you, torture a victim or otherwise delay its destruction",Strength or Constitution,"1st:breathe fire, 2nd:enlarge, 6th:disintegrate",harm,must choose unholy,Athletics,"air, destruction, earth, zeal",greataxe,0,
Remaster Pantheon,Urgathoa,The Pallid Princess,She/Her,2,37,190,"So infatuated with the pleasures of the living world, Urgathoa escaped the clutches of death and the afterlife, becoming the first undead. The Pallid Princess now revels in the sharing of her hedonistic ways and spreading undeath.","disease, gluttony, and undeath","become undead upon death, create or protect the undead, sate your appetites","deny your appetites, destroy undead, sacrifice your life",Constitution or Wisdom,"1st:goblin pox, 2nd:false vitality, 7th:mask of terror",harm,must choose unholy,Intimidation,"indulgence, magic, might, undeath",scythe,0,
Remaster Pantheon,Gozreh,The Wind and the Waves,They/Them,2,37,155,"A deity of two aspects, Gozreh is the sea that encapsulates the land and the wind that moves its surface. The Wind and the Waves are popular with druids and those who seek to preserve the wilds.","nature, the sea, and weather","cherish, protect, and respect nature in all its forms","bring civilization to intrude on the wild, create undead, despoil areas of natural beauty",Constitution or Wisdom,"1st:gust of wind, 3rd:lightning bolt, 5th:control water",heal,none,Survival,"air, nature, travel, water",trident,0,
Remaster Pantheon,Pharasma,The Lady of Graves,She/Her,2,43,209,"Ancient and powerful beyond even most other gods, Pharasma judges the souls of all who perish from her throne in the Boneyard. Through these judgments, the Lady of Graves ensures that the natural cycle of birth and death—the River of Souls—is not disrupted.","birth, death, fate, prophecy, and time","strive to understand ancient prophecies, destroy undead, lay bodies to rest","create undead, desecrate a corpse, rob a tomb",Constitution or Wisdom,"1st:mindlink, 3rd:ghostly weapon, 4th:vision of death",heal,none,Medicine,"death, fate, healing, knowledge",dagger,0,
Remaster Pantheon,Abadar,Master of the First Vault,He/Him,2,34,185,"Abadar, Master of the First Vault, seeks to bring civilization to the wilds of the world, encourages adherence to the law, and promotes commerce and trade within civilization. He also encourages cooperation among ancestries.","cities, law, merchants, and wealth","bring civilization to the frontiers, earn wealth through hard work and trade, follow the rule of law","engage in banditry or piracy, steal, undermine a law-abiding court",Constitution or Intelligence,"1st:illusory object, 4th:creation, 7th:planar palace",harm or heal,can choose holy or unholy,Society,"cities, earth, travel, wealth",crossbow,0,
Remaster Pantheon,Calistria,The Savored Sting,She/Her,2,42,215,"Calistria, the Savored Sting, is a mischievous and mercurial god of attraction who delights in tricking others and seeks vengeance on those who slight her. Though Calistria is most widely worshipped by elves, members of many other ancestries follow her as well.","lust, revenge, and trickery","pursue your personal freedom, seek hedonistic thrills, take revenge","become too consumed by love or a need for revenge, let a slight go unanswered",Dexterity or Charisma,"1st:charm, 3rd:enthrall, 6th:mislead",harm or heal,can choose holy or unholy,Deception,"pain, passion, secrecy, trickery",whip,0,
Remaster Pantheon,Gorum,Our Lord in Iron,He/Him,2,34,157,"Anyone who seeks glory on the battlefield calls out prayers to Our Lord in Iron. Gorum emphasizes might, encouraging his followers to seek out war and combat as the ultimate way to worship him.","battle, strength, and weapons","attain victory in fair combat, push your limits, wear armor in combat","kill prisoners or surrendering foes, prevent conflict through negotiation, win a battle through underhanded tactics or indirect magic",Strength or Constitution,"1st:sure strike, 2nd:enlarge, 4th:weapon storm",harm or heal,can choose holy or unholy,Athletics,"confidence, destruction, might, zeal",greatsword,0,
Remaster Pantheon,Irori,The Master of Masters,He/Him,2,48,231,"As a mortal, Irori attained true enlightenment, allowing him to break free of the shackles of mortality and achieve divinity. As a god, he is the Master of Masters and promotes discipline and teaches that one who can master themself finds the greatest benefits the world can provide.","history, knowledge, and self-perfection","be humble; help others perfect themselves; hone your body, mind, and spirit to a more perfect state; practice discipline","engage in overly unhealthy or self-destructive behaviors, destroy an important historical text, repeatedly fail to maintain self-control",Intelligence or Wisdom,"1st:jump, 3rd:haste, 4th:mountain resilience",harm or heal,can choose holy or unholy,Athletics,"knowledge, might, perfection, truth",fist,0,
Remaster Pantheon,Lamashtu,The Mother of Monsters,She/Her,3,55,281,"Lamashtu, the Mother of Monsters, revels in corruption of the pure. The physical changes and nightmares left by her interventions are treated as gifts by her followers and unwelcome terrors by the outside world. There are some that find respite or even a family among Lamashtu’s followers due to the faith’s greater acceptance of differences.","aberrance, monsters, and nightmares","bring power to outcasts and the downtrodden, indoctrinate others in Lamashtu’s teachings, make the beautiful monstrous, reveal the corruption and flaws in all things","attempt to change that which makes you different, provide succor to Lamashtu’s enemies",Strength or Constitution,"1st:spider sting, 2nd:animal form, 4th:nightmare",harm or heal,can choose unholy,Survival,"family, might, nightmares, trickery",falchion,0,
Remaster Pantheon,Nethys,The All-Seeing Eye,He/Him,2,45,220,"Once a mortal master of magic, Nethys sought to unlock all the secrets of the planes, ascending to godhood as his mind truly understood the entire potential of magic. The All-Seeing Eye is a dualistic god, teaching both the destructive and protective potential of magic.",magic,seek out magical power and use it,pursue mundane paths over magical ones,Intelligence or Wisdom,"1st:force barrage, 2nd:embed message, 3rd:levitate, 4th:flicker, 5th:telekinetic haul, 6th:wall of force, 7th:warp mind, 8th:quandary, 9th:detonate magic",harm or heal,can choose holy or unholy,Arcana,"destruction, knowledge, magic, protection",staff,0,
Hucaen Pantheon,Beraur,The Cleansing Light,He/Him,3,43,211,"Beraur's leads the way to the end of the tunnel, the path back to forgiveness and civilization. The Cleansing Light seeks to bring order to chaos and purity to corruption. His followers are occasionally accused of overzealousness when they burn away the rot.","bravery, honest redemption, the sun","seek out and challenge oppressors and tyrants, defend friends and the innocent","suffer a bully’s insults to you or another without retort, abandon a friend in need",Wisdom or Charisma,"1st: force barrage, 2nd: clear mind, 6th: truesight",Heal,must choose holy,Medicine,"healing, protection, sun, repose",scimitar,15,"Hucaen City,Otari,Timbermont,Tawdryquay,Willowglade,Bovinslate,Bridgegrove,Corsabell,Haven,Lamarich Key,Skelnelly Manor,The Anchor Archipelago,Brentram Island,Fomatroy,Tanidam"
Hucaen Pantheon,Duella,The Dream Dweller,She/Her,3,43,184,"Duella watches over the people of Hucaen as they sleep and dream. The Dream Dweller is not to be trifled with, however - she can just as easily give nightmares as peaceful sleep. Some say the stars in the sky are individual dreams.","dreams, stars, freedom, nightmares","always make time for sleeping and dreams, ensure others never go to sleep scared","stay up all night without any breaks for sleeping or dreaming, attack a person or creature while they sleep",Constitution or Intelligence,"1st: sleep, 3rd: dream message, 4th: nightmare",Harm,can choose holy or unholy,Society,"dreams, darkness, nightmares, moon",starknife,9,"Hucaen City,Aerie,Rockyville,Pewterhaunt,Bridgegrove,Corsabell,Nilsethemar,Skelnelly Manor,Werronga"
Hucaen Pantheon,Ghadea,The Cosmic Artist,She/Her,2,39,211,"Ghadea presides over any artful creation, from grand symphonies and towering statues to fashionable clothes and . The Cosmic Artist is invoked in the construction of many things, from a simple horseshoe to the factories and towers of Smackels-on-the-River.","art, beauty, industry, trade","choose and perfect an art, lead by example, respect the forge","destroy art or allow it to be destroyed, unless saving a life or pursuing greater art; intentionally create inferior works, ",Dexterity or Charisma,"1st: illusory object, 4th: creation, 6th: shape stone",Heal,can choose holy,Crafting,"creation, glyph, passion, family",light hammer,9,"Smackels-on-the-River,Pewterhaunt,Willowglade,Rosenview,Cherryhaunt,Lamarich Key,Nilsethemar,Fomatroy,Hermonyet"
Hucaen Pantheon,Grianke,The Eternal Judge,She/Her,3,33,175,"Grianke embodies balance, truth, and justice. The Eternal Judge's wants to root out corruption and injustice everywhere. His followers accomplish this by direct action or exposing it for the public to take action.","truth, justice, family, honor","be humble; help others perfect themselves; hone your body, mind, and spirit to a more perfect state;","become addicted to a substance, refuse a challenge from an equal, repeatedly fail to maintain self-control",Constitution or Intelligence,"1st: charm, 2nd: revealing light, 6th: zealous conviction",Harm,can choose holy or unholy,Society,"truth, duty, perfection, introspection",longsword,7,"Hucaen City,Aerie,Willowglade,Bovinslate,Corsabell,Skelnelly Manor,Werronga"
Hucaen Pantheon,Jevitras,The Keen Librarian,They/Them,3,38,196,"Jevitras searches for new knowledge and new magic relentlessly. The Keen Librarian has directed their followers to build libraries and laboratories Instead of temples. They prefer if people don't get hurt in the process, but only so much.","magic, knowledge, alchemy",seek out magical power and use it,pursue mundane paths over magical ones,Intelligence or Wisdom,"1st: pocket library; 2nd: translate, 2nd: translate, 8th: quandary",Heal or Harm,can choose holy or unholy,Arcana,"freedom, magic, knowledge, star",staff,12,"Otari,Cherryhaunt,Bovinslate,Earthenwind,Fomatroy,Abahas,Disubra,Hermonyet,Makarine's Thirst,Quelkha,Raqnim's Riders,Tanidam"
Hucaen Pantheon,Qhontia,The Reborn Death,They/Them,2,43,176,"Qhontia presides over the cycle of death and birth, from death in combat and old age, to reincarnation, all the way on down to compost. They make sure the cycle continues - things must die to make room for things to be born.","death, birth, nature, darkness","Recycle rot and waste into useful creations, shock the self-righteous, destroy undead","waste food or good materials, allow rot to poison an area, create undead",Constitution or Wisdom,"1st: pest form, 2nd: one with plants, 7th: execute",Heal or Harm,can choose holy or unholy,Survival,"nature, decay, death, indulgence",sickle,16,"Smackels-on-the-River,Rockyville,Pewterhaunt,Salsbar,Harkinbluff,Bovinslate,Bridgegrove,Earthenwind,Qhontia's Bounty,Lamarich Key,Nilsethemar,The Anchor Archipelago,Brentram Island,Quelkha,Raqnim's Riders,Tanidam"
Hucaen Pantheon,Solous,The Savage Wild,He/Him,2,44,210,"Solous enjoys all things that sow discord - friends falling out over a misunderstanding, a mark falling hard for a particularly nasty con, and anything that undermines authority. The Savage Wild will happily bring down a town or even a city towards this end.","hunting, disaster, wrath, secrets","embarrass and expose hypocrites, humble those in power, play pranks and practical jokes","show remorse for your pranks, take a joke personally",Strength or Charisma,"1st: thunderstrike, 2nd: laughing fit, 5th: hallucination",Harm,must choose unholy,Intimidation,"delirium, destruction, swarm, trickery",war razor,3,"Rockyville,Thaumadam,Chobrazkad"
Hucaen Pantheon,Taveyar,The Dread Archduke,He/Him,3,34,168,"Taveyar believes that might makes right. The Dread Archduke has fans in all levels of many heirarchies, particularly military ones. His preferred method of worship is via combat, and is not known for mercy.","strength, revenge, tyranny, battle","veil your motives, make dangerous deals, speak with refinement","cower from fights, neglect your defenses, betray a lover",Strength or Wisdom,"1st: hydraulic push, 4th: vision of death, 9th: massacre",Harm,can choose unholy,Athletics,"might, toil, zeal, tyranny",greataxe,7,"Otari,Makarine's Vigilance,Chobrazkad,Makarine's Glory,Nilsethemar,Skelnelly Manor,Makarine's Thirst"
Hucaen Pantheon,Renza,The Blood Risen,She/Her,2,30,146,"Renza fiercely protects those she loves, and those in need. The Blood Risen is strong emotion and adrenaline personified: She loves the thrill of combat, of love, of righteous fury.","lust, protection, valor, pride",do whatever it takes to survive,"allow others to slight you without retaliation, forgive those who have wronged you, sacrifice others in your place",Strength or Charisma,"1st: pummeling rubble, 2nd: blood vendetta, 3rd: vampiric feast",Harm,can choose holy or unholy,Athletics,"pain, cities, confidence, luck",pick,14,"Smackels-on-the-River,Otari,Pewterhaunt,Salsbar,Cherryhaunt,Makarine's Vigilance,Chobrazkad,Makarine's Glory,The Anchor Archipelago,Werronga,Brentram Island,Fomatroy,Makarine's Thirst,Raqnim's Riders"
Hucaen Pantheon,Lathas,The Sweat Broken,They/Them,3,42,190,"Lathas promises that anything is possible if you work hard enough. The Sweat Broken smiles upon those who toil, cities, and amassed wealth. They prefer worship in the form of creation for a purpose, though they do not look down upon art.","cities, wealth, law, forge","continually improve your abilities, work ceaselessly, express yourself through craft, provide necessities and protection for those in need","fail to work toward goals or grow in skill, relax excessively or give into sloth",Strength or Constitution,"1st: temporary tool, 4th: weapon storm, 7th: duplicate foe",Heal or Harm,can choose holy or unholy,Crafting,"wealth, ambition, change, creation",warhammer,20,"Smackels-on-the-River,Aerie,Timbermont,Tawdryquay,Salsbar,Harkinbluff,Rosenview,Cherryhaunt,Makarine's Vigilance,Chobrazkad,Makarine's Glory,The Anchor Archipelago,Brentram Island,Fomatroy,Abahas,Disubra,Hermonyet,Makarine's Thirst,Quelkha,Tanidam"
Hucaen Pantheon,Taszia,The Tears Wept,He/Him,3,47,207,"Taszia ushers the dead to a peaceful rest, and abhors anything that interferes, especially the undead. The Tears Wept mourn for those who have died, and those he knows will die. He is cursed with the knowledge of the future, and shares in the form of prophecy.","fate, loss, pain, prophecy","lay bodies to rest, aid fellow travelers, explore new places","make decisions erratically or randomly, desecrate a corpse, rob a tomb, engage in banditry or piracy",Dexterity or Charisma,"1st: verdant sprout, 4th: translocate, 8th: migration",Heal,can choose holy,Society,"soul, travel, sorrow, vigil",shield bow,12,"Smackels-on-the-River,Tawdryquay,Rockyville,Rosenview,Cherryhaunt,Corsabell,Makarine's Vigilance,Makarine's Glory,Werronga,Brentram Island,Disubra,Makarine's Thirst"
Legends of Yore,Gilbagathol,The Wizard-General,He/Him,1,1,0,,,,,Intelligence or Wisdom,,Heal,can choose holy,Arcana,"freedom, duty, indulgence, ",staff,0,
Legends of Yore,Xalomir,The Hero of the Outlands,He/Him,1,1,0,,,,,Dexterity or Charisma,,Heal,can choose holy,Survival,"nature, family, protection, duty",longbow,0,
Legends of Yore,Laszlo,The Vampire Dragon-to-be,He/Him,1,1,0,,,,,Intelligence or Charisma,,Harm,can choose holy or unholy,Performance,"wyrmkin, confidence, magic, undead",jaws or staff,0,
Hucaen Cult,Brutana,The Lost Harvest,She/Her,1,1,0,,,,,Constitution or Wisdom,,Heal,must choose holy,Deception,"secrecy, sorrow, cities, decay, toil",,0,
Hucaen Cult,Elementalism,Nature unburdened,They/Them,1,1,0,,,,,,,Heal or Harm,none,Nature,"earth, water, fire, air, metal, wood, lightning, cold",,0,
Moon Gods of Old,Izus,The Fighter Father,He/Him,1,1,0,,,,,Strength or Wisdom,,Harm,must choose unholy,Crafting,"tyranny, might, toil, fire",warhammer,0,
Moon Gods of Old,Sharaev,The Elven Moon Mother,She/Her,1,1,0,,,,,Dexterity or Intelligence,,Harm,must choose unholy,Arcana,"magic, moon, nature, star",longbow,0,